id,label,modularity_class,eccentricity,closness_centrality,harmonic_closness_centrality,betweeness_centrality,eigen_centrality,pageranks,clustering_coefficient,triangles
n112,scale,1,4,0.363763066,0.399744572,0,0.156561292,0.001596254,1,171
n113,tasks,1,4,0.363763066,0.399744572,0,0.156561292,0.001596254,1,171
n114,age,1,4,0.363763066,0.399744572,0,0.156561292,0.001596254,1,171
n115,bleeding,1,4,0.363763066,0.399744572,0,0.156561292,0.001596254,1,171
n116,complexity,1,4,0.363763066,0.399744572,0,0.156561292,0.001596254,1,171
n117,exploratory,1,4,0.363763066,0.399744572,0,0.156561292,0.001596254,1,171
n118,highlighting,1,4,0.363763066,0.399744572,0,0.156561292,0.001596254,1,171
n119,optimization,1,4,0.363763066,0.399744572,0,0.156561292,0.001596254,1,171
n120,packages,1,4,0.363763066,0.399744572,0,0.156561292,0.001596254,1,171
n121,probability,1,4,0.363763066,0.399744572,0,0.156561292,0.001596254,1,171
n122,relying,1,4,0.363763066,0.399744572,0,0.156561292,0.001596254,1,171
n123,subscription,2,4,0.406225681,0.444604087,0.001137535,0.266234455,0.002128381,0.763546798,310
n124,trial,2,4,0.406225681,0.444604087,0.001137535,0.266234455,0.002128381,0.763546798,310
n125,note,2,4,0.406225681,0.444604087,0.001137535,0.266234455,0.002128381,0.763546798,310
n126,cleanse,2,4,0.388971684,0.422573436,0,0.191842177,0.001477145,1,171
n127,ready,2,4,0.388971684,0.422573436,0,0.191842177,0.001477145,1,171
n128,free,2,4,0.406225681,0.444604087,0.001137535,0.266234455,0.002128381,0.763546798,310
n129,solutions,2,4,0.388971684,0.422573436,0,0.191842177,0.001477145,1,171
n130,certificate,2,4,0.406225681,0.444604087,0.001137535,0.266234455,0.002128381,0.763546798,310
n131,charged,2,4,0.406225681,0.444604087,0.001137535,0.266234455,0.002128381,0.763546798,310
n132,hdinsight,2,4,0.406225681,0.444604087,0.001137535,0.266234455,0.002128381,0.763546798,310
n133,language,2,4,0.415274463,0.459291188,0.020284664,0.290567789,0.00280262,0.490753912,345
n134,library,2,4,0.428219852,0.47142401,0.013801206,0.354804965,0.002718989,0.493598862,347
n135,microsoft,2,4,0.406225681,0.444604087,0.001137535,0.266234455,0.002128381,0.763546798,310
n136,mllib,2,4,0.388971684,0.422573436,0,0.191842177,0.001477145,1,171
n137,regions,2,4,0.406225681,0.444604087,0.001137535,0.266234455,0.002128381,0.763546798,310
n138,scala,2,4,0.388971684,0.422573436,0,0.191842177,0.001477145,1,171
n139,card,2,4,0.427868852,0.471104725,0.018282354,0.330568173,0.002741762,0.490753912,345
n140,prediction,1,4,0.390426328,0.421615581,0,0.155756471,0.00159524,1,171
n141,week,4,4,0.424045491,0.479086845,0.08298763,0.290096266,0.004395808,0.333116883,513
n142,caret,1,4,0.390426328,0.421615581,0,0.155756471,0.00159524,1,171
n143,cross,1,4,0.390426328,0.421615581,0,0.155756471,0.00159524,1,171
n144,errors,1,4,0.390426328,0.421615581,0,0.155756471,0.00159524,1,171
n145,forests,1,4,0.390426328,0.421615581,0,0.155756471,0.00159524,1,171
n146,predictors,1,4,0.390426328,0.421615581,0,0.155756471,0.00159524,1,171
n147,random,1,4,0.390426328,0.421615581,0,0.155756471,0.00159524,1,171
n148,regularized,1,4,0.390426328,0.421615581,0,0.155756471,0.00159524,1,171
n149,validation,1,4,0.390426328,0.421615581,0,0.155756471,0.00159524,1,171
n150,cover,6,3,0.451948052,0.488825032,0.026432864,0.299155514,0.00289715,0.490753912,345
n151,combining,1,4,0.390426328,0.421615581,0,0.155756471,0.00159524,1,171
n152,package,1,4,0.390426328,0.421615581,0,0.155756471,0.00159524,1,171
n153,trees,1,4,0.390426328,0.421615581,0,0.155756471,0.00159524,1,171
n154,functions,9,3,0.428923583,0.469029374,0.024460799,0.239761201,0.002974706,0.486486486,342
n155,analysts,1,4,0.390426328,0.421615581,0,0.155756471,0.00159524,1,171
n156,fall,3,4,0.351042367,0.381704981,0,0.107541078,0.0016,1,171
n157,reduce,2,4,0.421988682,0.464559387,0.025016835,0.305928662,0.002744679,0.515015015,343
n158,map,2,4,0.421988682,0.464559387,0.025016835,0.305928662,0.002744679,0.515015015,343
n159,databases,3,4,0.351042367,0.381704981,0,0.107541078,0.0016,1,171
n160,delhi,3,4,0.351042367,0.381704981,0,0.107541078,0.0016,1,171
n161,artificial intelligence,5,4,0.377713459,0.433748404,0.084495885,0.221554364,0.004518406,0.333116883,513
n162,web,3,4,0.351042367,0.381704981,0,0.107541078,0.0016,1,171
n163,parallel,3,4,0.351042367,0.381704981,0,0.107541078,0.0016,1,171
n164,sentiment,3,3,0.4176,0.458492976,0.030916712,0.24780496,0.002868705,0.486486486,342
n165,platforms,3,4,0.351042367,0.381704981,0,0.107541078,0.0016,1,171
n166,search,4,4,0.372591006,0.41554917,0.014214007,0.17352407,0.002962909,0.513513514,342
n167,apparent,3,4,0.351042367,0.381704981,0,0.107541078,0.0016,1,171
n168,bayesian,3,4,0.351042367,0.381704981,0,0.107541078,0.0016,1,171
